Time, x, y, angle, throttle, steer, brake, gear 
0.0,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.073,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.145,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.193,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.264,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.337,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.39,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.459,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.529,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.574,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.645,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.7,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.77,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.845,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.896,-25.0,139.0,0.0,0.0,0.0,0.0,1
0.969,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.038,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.086,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.155,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.202,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.272,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.344,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.417,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.488,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.534,-25.0,139.0,0.0,0.0,0.0,0.0,1
1.602,-25.0,139.0,0.0,0.04,0.0,0.0,1
1.672,-25.0,139.0,0.0,0.09,0.0,0.0,1
1.72,-25.0,139.0,0.0,0.13,0.0,0.0,1
1.791,-25.0,139.0,0.0,0.16,0.0,0.0,1
1.86,-25.0,139.0,0.0,0.21,0.0,0.0,1
1.929,-25.0,139.0,0.0,0.25,0.0,0.0,1
1.998,-25.0,139.0,0.0,0.29,0.0,0.0,1
2.046,-25.0,139.0,0.0,0.32,0.0,0.0,1
2.115,-25.0,139.0,0.0,0.37,0.0,0.0,1
2.186,-25.0,139.0,0.0,0.41,0.1,0.0,1
2.257,-25.0,139.0,0.0,0.44,0.1,0.0,1
2.304,-25.0,139.0,0.0,0.48,0.1,0.0,1
2.376,-25.0,139.0,0.0,0.53,0.2,0.0,1
2.445,-25.0,139.0,0.0,0.57,0.2,0.0,1
2.49,-25.0,139.0,0.0,0.61,0.2,0.0,1
2.56,-25.0,139.0,0.0,0.64,0.2,0.0,1
2.63,-25.0,139.0,0.0,0.69,0.3,0.0,1
2.701,-24.99,139.0,0.09,0.73,0.3,0.0,1
2.747,-24.96,139.01,0.33,0.76,0.3,0.0,1
2.817,-24.89,139.02,0.94,0.81,0.0,0.0,1
2.887,-24.79,139.03,1.28,0.85,0.0,0.0,1
2.956,-24.67,139.03,1.29,0.89,0.0,0.0,1
3.002,-24.59,139.04,1.3,0.92,0.0,0.0,1
3.071,-24.44,139.04,1.3,0.96,0.0,0.0,1
3.14,-24.26,139.04,1.3,1.0,0.0,0.0,1
3.21,-24.05,139.05,1.3,1.0,0.0,0.0,1
3.279,-23.81,139.05,1.33,1.0,0.1,0.0,1
3.326,-23.63,139.06,1.61,1.0,0.1,0.0,1
3.395,-23.33,139.09,2.25,1.0,0.1,0.0,1
